Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.22.11-3.233.158.26-29142-443-6,192.168.22.11,29142,3.233.158.26,443,6,20/08/2025 11:06:52 下午,741544,6,9,197.0,4042.0,109.0,0.0,32.83333333333333,44.91065204009698,1323.0,0.0,449.1111111111111,583.8954196695768,5716.451080448362,20.22806468665379,52967.42857142857,103348.84203490644,246165.0,17.0,495292.0,99058.4,134986.82326545802,253436.0,27.0,740652.0,92581.50000000001,125501.0104307645,246165.0,18.0,0,0,0,0,120,204,8.091225874661518,12.136838811992275,0.0,1323.0,264.9375,478.6272688637788,229084.0625,0,1,0,0,0,0,0,0,1.0,282.6,32.833333333333336,449.1111111111111,0,0,0,0,0,0,6,197,9,4042,-1,72,3,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-3.233.158.26-29142-443-6,3.233.158.26,443,192.168.22.11,29142,6,20/08/2025 11:06:53 下午,2529,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,9489.916963226571,1186.2396204033214,1264.5,1720.39079862687,2481.0,48.0,0,0,0,0,0,48.0,48.0,0.0,48.0,48.0,0,1,0,0,20,40,395.41320680110715,790.8264136022143,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-35.223.238.178-29163-443-6,192.168.22.11,29163,35.223.238.178,443,6,20/08/2025 11:06:54 下午,538962,8,10,1420.0,3588.0,879.0,0.0,177.5,335.6137235402799,1420.0,0.0,358.80000000000007,569.5477348056282,9291.935238476923,33.39753080922217,31703.647058823528,69293.93034380894,179866.0,0.0,359021.0,51288.71428571429,86211.96668234692,181061.0,222.0,538173.0,59797.0,88342.34540977504,179866.0,0.0,0,0,0,0,160,224,14.843347026320963,18.554183782901205,0.0,1420.0,263.578947368421,467.10328572186654,218185.4795321637,0,1,0,0,0,0,0,0,1.0,278.22222222222223,177.5,358.8,0,0,0,0,0,0,8,1420,10,3588,-1,325,3,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-35.223.238.178-29283-443-6,192.168.22.11,29283,35.223.238.178,443,6,20/08/2025 11:07:04 下午,539819,8,10,1040.0,3573.0,517.0,0.0,130.0,233.50313549439608,1420.0,0.0,357.3,569.8477476971858,8545.456903147166,33.34450991906546,31754.058823529413,68527.48557829788,176480.0,0.0,363217.0,51888.142857142855,86715.2412274962,184048.0,194.0,539114.0,59901.555555555555,87020.83214396297,176706.0,0.0,0,0,0,0,160,224,14.819782186251317,18.524727732814146,0.0,1420.0,242.78947368421052,446.9681294812078,199780.50877192977,0,1,0,0,0,0,0,0,1.0,256.27777777777777,130.0,357.3,0,0,0,0,0,0,8,1040,10,3573,-1,331,3,0,0,0,0,0,0,0,0,0,No Label
142.250.204.34-192.168.22.11-443-15103-6,192.168.22.11,15103,142.250.204.34,443,6,20/08/2025 11:07:11 下午,550,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,114545.45454545454,5454.545454545454,275.0,359.21024484276614,529.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,1,0,0,40,20,3636.363636363636,1818.181818181818,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,251,1,0,0,0,0,0,0,0,0,0,No Label
142.250.204.34-192.168.22.11-443-15103-6,142.250.204.34,443,192.168.22.11,15103,6,20/08/2025 11:07:11 下午,97,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20618.556701030928,97.0,0.0,97.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10309.278350515464,10309.278350515464,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1046,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-3.169.55.91-29374-443-6,192.168.22.11,29374,3.169.55.91,443,6,20/08/2025 11:07:11 下午,5416112,7,11,88.0,6129.0,64.0,0.0,12.571428571428573,24.377976008801763,1440.0,0.0,557.1818181818181,703.3899086824914,1147.8713881839963,3.3234172410024017,318594.82352941175,1285360.0779898814,5306319.0,0.0,5394024.0,899004.0,2159257.087716792,5306319.0,43.0,69016.0,6901.6,9695.366662025275,22004.0,0.0,0,0,0,0,140,244,1.2924400381676007,2.030977202834801,0.0,1440.0,327.2105263157895,593.1528357427852,351830.2865497076,0,1,0,0,0,0,0,0,1.0,345.3888888888889,12.571428571428571,557.1818181818181,0,0,0,0,0,0,7,88,11,6129,-1,140,2,0,109750.0,0.0,109750.0,109750.0,5306319.0,0.0,5306319.0,5306319.0,No Label
156.225.96.214-192.168.22.11-443-15698-6,192.168.22.11,15698,156.225.96.214,443,6,20/08/2025 11:07:19 下午,599,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,105175.29215358931,5008.347245409015,299.5,391.03004999616076,576.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,40,20,3338.89816360601,1669.449081803005,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
156.238.128.5-192.168.22.11-443-15700-6,192.168.22.11,15700,156.238.128.5,443,6,20/08/2025 11:07:19 下午,944,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,66737.28813559322,3177.9661016949153,472.0,647.7098115668775,930.0,14.0,14.0,14.0,0.0,14.0,14.0,0,0,0,0,0,0,1,0,0,40,20,2118.64406779661,1059.322033898305,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,1023,1,0,0,0,0,0,0,0,0,0,No Label
156.225.96.195-192.168.22.11-443-15711-6,192.168.22.11,15711,156.225.96.195,443,6,20/08/2025 11:07:19 下午,1317,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,47835.99088838269,2277.904328018223,658.5,915.703281636579,1306.0,11.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,0,0,1,0,0,40,20,1518.602885345482,759.301442672741,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
