2025-08-20 22:07:19 DEBUG swing.common.SwingUtils    C:\Users\aosag\NTUSER.DAT (程序無法存取檔案，因為檔案正由另一個程序使用。)
2025-08-20 22:07:22 DEBUG swing.common.SwingUtils    C:\DumpStack.log (存取被拒。)
2025-08-20 22:07:39 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\IDS_defense\other\capture_20250806_073652.pcap
2025-08-20 22:07:47 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\IDS_defense\other
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\IDS_defense\other\capture_20250806_073652.pcap
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 61 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 61 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 61 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 61 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 79 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 79 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 79 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 79 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 92 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 92 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 93 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 94 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 101 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 101 flow
2025-08-20 22:07:48 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 101 flow
